age,sleep_hours,exercise_days,diet_quality,genetic_variant,social_text,sentiment_score,risk_score
0.6808510638297872,0.7672871043759615,0.5714285714285714,0.5555555555555556,0.0,Fund significant situation shake test PM.,0.6527777777777778,28.672187668078884
0.34042553191489355,0.6155093189561991,0.8571428571428571,1.0,1.0,Cost meeting player difficult.,0.16666666666666669,72.84150490677636
0.9574468085106383,0.7320516274061599,0.7142857142857142,0.6666666666666665,1.0,Address feeling one arm.,0.4444444444444445,92.6248728859423
0.1914893617021276,0.7335087993043252,0.14285714285714285,0.7777777777777777,0.0,Anyone heavy art yourself investment coach style.,0.33333333333333337,30.498941278321045
0.7872340425531915,0.8091886939523272,0.42857142857142855,0.4444444444444445,1.0,Congress challenge interesting something sell activity.,0.7222222222222223,16.57128079495287
0.8723404255319148,0.9883183992551996,0.8571428571428571,0.6666666666666665,1.0,Role at measure.,0.4444444444444445,30.41388854504744
0.25531914893617025,0.21906901349901964,0.8571428571428571,0.3333333333333333,0.0,Fear avoid meet media usually.,0.3055555555555556,79.74944706420497
0.723404255319149,0.23623344825595594,0.0,0.6666666666666665,1.0,Manager pull decision right.,0.6031746031746033,98.33981973123294
0.3829787234042553,0.07957426910058829,0.42857142857142855,0.5555555555555556,1.0,Them statement budget particularly wrong total service scene.,0.3055555555555556,53.24530053389145
0.6595744680851064,0.8599781156963142,0.2857142857142857,0.1111111111111111,0.0,Subject employee relate back none hour.,0.3981481481481482,50.10805921076638
0.5531914893617021,0.10761455071000026,0.7142857142857142,0.7777777777777777,1.0,Follow program PM traditional.,0.4444444444444445,31.461601148509175
0.10638297872340424,0.5933743041039081,0.5714285714285714,0.5555555555555556,0.0,Woman watch city market.,0.4444444444444445,71.29684143794157
0.0,0.21234518765975052,0.0,0.1111111111111111,0.0,Everybody light first above expert.,0.5648148148148148,32.51484517460446
0.5531914893617021,0.5030629798084059,0.0,0.2222222222222222,1.0,Direction religious set bad herself.,0.25000000000000006,50.43121076274115
0.8936170212765958,0.2900896233094151,0.5714285714285714,0.3333333333333333,0.0,Campaign positive foreign.,0.47285353535353536,80.10470591575472
0.17021276595744683,0.9504260143450269,1.0,1.0,0.0,Old however he building.,0.5,58.2172578791018
0.5319148936170213,0.7760466228418208,0.14285714285714285,0.8888888888888888,0.0,But himself cut dark baby education new partner.,0.4406565656565657,28.824647314667608
0.7446808510638298,0.991867575446159,0.2857142857142857,1.0,1.0,Rather explain son there he everyone two.,0.4444444444444445,96.31470562052
0.14893617021276595,0.8771816150364515,0.14285714285714285,0.2222222222222222,0.0,Word on gun could.,0.4444444444444445,64.5784366244885
0.9999999999999999,0.8425377001263648,0.0,0.5555555555555556,1.0,Training which actually design general character.,0.45833333333333337,88.10156440092459
0.25531914893617025,0.304335000182284,0.14285714285714285,0.6666666666666665,1.0,Network education never memory peace.,0.4444444444444445,4.512319693372257
0.36170212765957444,0.8188770488577053,0.2857142857142857,0.2222222222222222,0.0,Growth real share social possible thought success.,0.5185185185185185,56.35652001559189
0.723404255319149,0.7426508472322015,0.42857142857142855,0.5555555555555556,0.0,It raise author paper enjoy upon.,0.6666666666666667,84.7294948044947
0.5744680851063829,0.11878735848314492,0.7142857142857142,1.0,1.0,Nature national show resource religious small friend.,0.375,9.161259457113625
0.7446808510638298,0.31130818934911997,0.14285714285714285,1.0,0.0,Family gas city pick.,0.4444444444444445,46.38684464982885
0.14893617021276595,0.8216605685908753,0.0,1.0,1.0,Its those up education research manage foot.,0.4444444444444445,53.322233426340105
0.6170212765957447,0.6563979778935682,1.0,0.7777777777777777,0.0,Listen usually ask product to.,0.3055555555555556,96.67263760557708
0.6382978723404255,0.7362100669063496,1.0,0.5555555555555556,1.0,Billion human improve.,0.4444444444444445,71.58082755880577
0.6595744680851064,0.21683019639033685,0.42857142857142855,0.1111111111111111,1.0,Structure baby economic law total second.,0.48148148148148145,36.25786644266928
0.702127659574468,0.4791408624879985,0.2857142857142857,0.1111111111111111,1.0,Thank always bar worker.,0.4444444444444445,63.09582915063218
0.10638297872340424,0.1758564247527814,0.42857142857142855,0.6666666666666665,1.0,Let ask thought read.,0.4444444444444445,75.54414247395484
0.2978723404255319,0.1491228243239956,0.7142857142857142,0.4444444444444445,1.0,Day run receive you institution consumer.,0.4444444444444445,52.06038287717385
0.4893617021276595,0.4097565082670891,0.7142857142857142,0.0,1.0,From system war address family when difference.,0.4444444444444445,78.66194006929871
0.8085106382978723,0.03340683633706054,0.14285714285714285,0.7777777777777777,1.0,Project point fight black long put speech already.,0.3842592592592593,63.65165581876512
0.9361702127659574,0.8773627286457528,0.5714285714285714,0.0,1.0,Music really ten daughter finish.,0.4444444444444445,83.33196476594817
0.9361702127659574,0.2070340054490286,0.42857142857142855,0.6666666666666665,1.0,Talk red room game throughout.,0.33333333333333337,90.22037949835348
0.6170212765957447,0.1096073861343212,0.0,0.8888888888888888,1.0,Sure PM scientist capital.,0.7222222222222223,75.35892245313778
0.5106382978723404,0.6300399113300967,0.0,0.0,0.0,Suggest despite determine game including avoid structure.,0.22222222222222224,28.465532479460087
0.3191489361702128,0.2830804080521404,0.5714285714285714,0.0,1.0,Congress hotel cold day interesting.,0.41666666666666674,55.779180650770975
0.7659574468085105,0.8720219285991804,0.7142857142857142,1.0,0.0,Behind what consumer ready dinner.,0.3888888888888889,55.34170618114395
0.021276595744680826,0.3362780001876964,0.42857142857142855,0.6666666666666665,0.0,Tree worker management simply seat explain.,0.4444444444444445,11.442894969302875
0.723404255319149,0.5508734578218684,0.2857142857142857,0.7777777777777777,1.0,Hundred no go attorney choose green.,0.33333333333333337,42.60456992706978
0.08510638297872342,0.4728282258871419,0.7142857142857142,0.1111111111111111,1.0,Fight heavy which perhaps people property.,0.33333333333333337,68.03518640208249
0.8085106382978723,0.694335266507041,1.0,1.0,0.0,Question decision direction recent.,0.4444444444444445,25.827306578069432
0.6808510638297872,0.9758693804274647,0.5714285714285714,0.0,1.0,Crime wonder strategy house cup.,0.4444444444444445,27.16983819612163
0.34042553191489355,0.5214411507544792,1.0,0.5555555555555556,1.0,Wear sometimes star down.,0.3580246913580247,7.948191960962337
0.6595744680851064,0.2631508843203052,0.42857142857142855,0.7777777777777777,0.0,Determine election exist.,0.4444444444444445,30.138413917105943
0.851063829787234,0.379755590853611,0.8571428571428571,0.2222222222222222,1.0,Share inside line dinner only put real outside.,0.4444444444444445,73.73640245000388
0.0,0.5479064029227512,1.0,0.5555555555555556,1.0,Yard down environmental prevent four way admit federal.,0.3580246913580247,3.040813412051357
0.6595744680851064,0.2365185688399043,0.5714285714285714,0.7777777777777777,0.0,Behavior issue offer result.,0.4444444444444445,68.03180649580027
0.23404255319148937,0.5500793899851806,1.0,0.5555555555555556,0.0,Seek responsibility budget measure movement as.,0.4444444444444445,37.66500598973742
0.23404255319148937,0.3419761959615013,1.0,1.0,0.0,Time with dream.,0.4444444444444445,14.3923150252397
0.9999999999999999,0.6683254437322603,1.0,0.7777777777777777,0.0,Past interest commercial spend.,0.375,42.552931720673335
